metric linear unit,0/45,0,0,0,0,0,0,0
angstrom,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
linear unit,2/147,2,0,2,0,0,0,0
inch,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
engineering,3/18,17,0,3,0,0,0,0
information technology,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
chemical element,0/519,0,0,0,0,0,0,0
iodine,2/2,100,0,2,0,0,0,0
iodine-125,0/0,N/A,0,0,0,0,0,0
chemical element,0/519,0,0,0,0,0,0,0
helium,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
chemical element,0/519,0,0,0,0,0,0,0
arsenic,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
chemical element,0/519,0,0,0,0,0,0,0
astatine,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
metallic element,0/303,0,0,0,0,0,0,0
beryllium,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
person,122/12902,1,0,43,42,21,9,7
rich person,0/14,0,0,0,0,0,0,0
affluent,0/0,N/A,0,0,0,0,0,0
area unit,0/31,0,0,0,0,0,0,0
are,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
maine,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
associate degree,0/6,0,0,0,0,0,0,0
associate in nursing,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kind,0/53,0,0,0,0,0,0,0
like,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
party,4/49,9,0,4,0,0,0,0
bash,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
engineering,3/18,17,0,3,0,0,0,0
information technology,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
angular distance,0/11,0,0,0,0,0,0,0
hour angle,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
container,2/1210,1,0,1,1,0,0,0
can,6/8,76,0,6,0,0,0,0
beer can,0/0,N/A,0,0,0,0,0,0
shift,0/3,0,0,0,0,0,0,0
go,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
small indefinite quantity,0/173,0,0,0,0,0,0,0
little,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
feather,8/26,31,0,4,3,1,0,0
down,4/5,80,0,3,1,0,0,0
duck down,0/1,0,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
more,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
body part,2/3048,1,0,2,0,0,0,0
back,0/0,N/A,0,0,0,0,0,0
