filename,words/sentences,letters/senetences,letters/words,lable,predict
traindata,traindata,traindata,traindata,traindata,traindata
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (3).txt,30.36283185840708,208.16814159292036,6.856018653453804,3,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (231).txt,27.41111111111111,191.11111111111111,6.9720308066477505,3,2.0
data/ppVietnamese_by_catalog/Easy/jk/jk (25).txt,15.058823529411764,82.88235294117646,5.50390625,1,1.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (273).txt,13.375,67.4375,5.042056074766355,1,1.0
data/ppVietnamese_by_catalog/Normal/LS_VNE_/LS_VNE_ (17).txt,17.372093023255815,104.44186046511628,6.0120481927710845,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (912).txt,13.842105263157896,84.94736842105263,6.136882129277566,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (552).txt,15.76923076923077,98.61538461538461,6.253658536585366,2,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (574).txt,16.0,95.33333333333333,5.958333333333333,1,2.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (456).txt,8.214285714285714,62.5,7.608695652173913,2,2.0
data/ppVietnamese_by_catalog/Normal/GDu_TT_/GDu_TT_ (580).txt,20.09090909090909,113.36363636363636,5.642533936651584,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-7/vm-7 (110).txt,17.444444444444443,94.61111111111111,5.423566878980892,1,1.0
data/ppVietnamese_by_catalog/Normal/CK_TT_/CK_TT_ (379).txt,19.714285714285715,118.28571428571429,6.0,2,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (530).txt,21.6,141.2,6.537037037037037,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (250).txt,25.894736842105264,153.57894736842104,5.930894308943089,2,2.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (20).txt,21.210526315789473,119.47368421052632,5.632754342431761,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (656).txt,13.215189873417721,77.73417721518987,5.882183908045977,2,2.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (190).txt,12.720930232558139,69.3953488372093,5.455210237659964,1,1.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (51).txt,18.8,93.66666666666667,4.9822695035460995,2,1.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (116).txt,22.3,151.0,6.771300448430493,2,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (675).txt,3.35,23.4,6.985074626865671,2,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (240).txt,14.666666666666666,86.44444444444444,5.893939393939394,2,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (208).txt,8.5625,42.9375,5.014598540145985,1,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (520).txt,11.4,73.93333333333334,6.485380116959064,1,2.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (1).txt,12.625,76.70833333333333,6.075907590759076,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_NLD_/SKDA_NLD_ (1061).txt,21.583333333333332,140.16666666666666,6.494208494208494,2,2.0
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (117).txt,42.43103448275862,325.0344827586207,7.660300690776107,3,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (221).txt,9.75,46.125,4.730769230769231,1,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (853).txt,32.83076923076923,240.52307692307693,7.3261480787253985,3,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (386).txt,18.17391304347826,109.43478260869566,6.021531100478469,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (12).txt,17.75,86.875,4.894366197183099,1,1.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (167).txt,17.58823529411765,98.23529411764706,5.585284280936455,1,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (62).txt,9.84,51.4,5.223577235772358,1,1.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (355).txt,20.736842105263158,129.31578947368422,6.2360406091370555,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (535).txt,14.956521739130435,90.84782608695652,6.074127906976744,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (834).txt,21.0,127.3,6.061904761904762,2,2.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (403).txt,14.2,89.9,6.330985915492958,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (3).txt,17.151515151515152,101.75757575757575,5.932862190812721,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (820).txt,13.181818181818182,76.36363636363636,5.793103448275862,2,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (562).txt,13.976190476190476,83.4047619047619,5.96763202725724,2,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (184).txt,31.0,202.07692307692307,6.518610421836228,2,2.0
data/ppVietnamese_by_catalog/Normal/BDS_TN_/BDS_TN_ (239).txt,22.928571428571427,131.07142857142858,5.716510903426792,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (409).txt,20.7,151.5,7.318840579710145,2,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (199).txt,29.23076923076923,206.46153846153845,7.063157894736842,2,2.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (152).txt,24.34375,142.71875,5.862644415917844,1,2.0
data/ppVietnamese_by_catalog/Normal/LS_NLD_/LS_NLD_ (216).txt,13.0,78.04166666666667,6.003205128205129,2,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (547).txt,24.110169491525422,178.46610169491527,7.402108963093146,3,2.0
data/ppVietnamese_by_catalog/Normal/LD_TN_/LD_TN_ (717).txt,18.2,92.2,5.065934065934066,2,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (213).txt,20.875,129.875,6.221556886227545,2,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (725).txt,52.758620689655174,374.12068965517244,7.091176470588235,3,2.0
data/ppVietnamese_by_catalog/Normal/LD_TN_/LD_TN_ (636).txt,12.307692307692308,73.53846153846153,5.975,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (492).txt,21.7,148.6,6.847926267281106,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-11/vm-11 (32).txt,11.833333333333334,63.416666666666664,5.359154929577465,1,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (349).txt,27.531645569620252,187.72151898734177,6.818390804597701,3,2.0
data/ppVietnamese_by_catalog/Normal/TGT_TT_/TGT_TT_ (273).txt,20.72222222222222,119.94444444444444,5.7882037533512065,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (753).txt,18.5,118.875,6.425675675675675,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (65).txt,14.705882352941176,89.3529411764706,6.076,1,2.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (304).txt,23.0,136.57894736842104,5.938215102974828,1,2.0
data/ppVietnamese_by_catalog/Normal/KGS_NLD_/KGS_NLD_ (134).txt,17.944444444444443,110.88888888888889,6.179566563467493,2,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (39).txt,22.136363636363637,131.22727272727272,5.9281314168377826,2,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (538).txt,15.620689655172415,98.82758620689656,6.326710816777042,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-4/vm-4 (26).txt,14.545454545454545,76.54545454545455,5.2625,1,1.0
data/ppVietnamese_by_catalog/Normal/HS_VNE_/HS_VNE_ (8).txt,14.1,83.2,5.900709219858156,2,2.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (111).txt,21.0,115.375,5.494047619047619,1,1.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (119).txt,18.5,114.57142857142857,6.193050193050193,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-3/vm-3 (50).txt,14.4,86.2,5.986111111111111,1,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (380).txt,20.4390243902439,117.60975609756098,5.75417661097852,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (491).txt,23.23076923076923,149.3846153846154,6.430463576158941,2,2.0
