,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
metric linear unit,0/45,0,0,0,0,0,0,0,10
,,,,,,,,,
a,0/0,N/A,0,0,0,0,0,0,N/A
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
linear unit,2/147,2,0,2,0,0,0,0,3
linear measure,0/147,0,0,0,0,0,0,0,6
,,,,,,,,,
in,0/0,N/A,0,0,0,0,0,0,N/A
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
engineering,3/18,17,0,3,0,0,0,0,6
engineering science,0/32,0,0,0,0,0,0,0,4
applied science,0/32,0,0,0,0,0,0,0,0
technology,6/18,34,0,5,1,0,0,0,7
,,,,,,,,,
it,0/0,N/A,0,0,0,0,0,0,N/A
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
chemical element,0/519,0,0,0,0,0,0,0,6
element,1/17,6,0,1,0,0,0,0,6
halogen,0/19,0,0,0,0,0,0,0,2
,,,,,,,,,
i,2/2,100,0,2,0,0,0,0,9
,,,,,,,,,
iodine-125,0/0,N/A,0,0,0,0,0,0,N/A
iodine-131,0/0,N/A,0,0,0,0,0,0,N/A
,,,,,,,,,
,,,,,,,,,
chemical element,0/519,0,0,0,0,0,0,0,6
element,1/17,6,0,1,0,0,0,0,6
noble gas,0/18,0,0,0,0,0,0,0,1
inert gas,0/18,0,0,0,0,0,0,0,1
argonon,0/18,0,0,0,0,0,0,0,1
,,,,,,,,,
he,0/0,N/A,0,0,0,0,0,0,N/A
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
take,0/3,0,0,0,0,0,0,0,4
account,0/22,0,0,0,0,0,0,0,5
act,4/45,9,0,1,3,0,0,0,9
answer,0/2,0,0,0,0,0,0,0,2
broil,0/0,N/A,0,0,0,0,0,0,N/A
balance,2/3,67,0,2,0,0,0,0,7
beat,0/0,N/A,0,0,0,0,0,0,N/A
begin,0/0,N/A,0,0,0,0,0,0,N/A
begin,0/0,N/A,0,0,0,0,0,0,N/A
start,6/20,30,0,4,2,0,0,0,5
buy,0/2,0,0,0,0,0,0,0,7
clean,0/0,N/A,0,0,0,0,0,0,N/A
compact,0/0,N/A,0,0,0,0,0,0,N/A
pack,0/0,N/A,0,0,0,0,0,0,N/A
compare,0/0,N/A,0,0,0,0,0,0,N/A
throw,1/57,2,0,1,0,0,0,0,3
fox,12/20,60,0,9,3,0,0,0,8
fuddle,0/1,0,0,0,0,0,0,0,2
take,0/3,0,0,0,0,0,0,0,4
hold,8/27,30,0,3,5,0,0,0,6
cost,20/362,6,0,11,6,1,1,1,8
be,0/0,N/A,0,0,0,0,0,0,N/A
count,6/9,67,0,6,0,0,0,0,6
matter,0/1,0,0,0,0,0,0,0,0
count,6/9,67,0,6,0,0,0,0,6
cover,0/4,0,0,0,0,0,0,0,4
cut,0/2,0,0,0,0,0,0,0,5
deck,23/32,72,0,17,5,1,0,0,7
grace,0/0,N/A,0,0,0,0,0,0,N/A
merit,0/0,N/A,0,0,0,0,0,0,N/A
discord,0/0,N/A,0,0,0,0,0,0,N/A
draw,0/0,N/A,0,0,0,0,0,0,N/A
end,6/52,12,0,5,1,0,0,0,6
fall,0/0,N/A,0,0,0,0,0,0,N/A
come,0/1,0,0,0,0,0,0,0,0
fall,0/0,N/A,0,0,0,0,0,0,N/A
feel,0/0,N/A,0,0,0,0,0,0,N/A
figure,0/0,N/A,0,0,0,0,0,0,N/A
fit,0/0,N/A,0,0,0,0,0,0,N/A
gape,0/1,0,0,0,0,0,0,0,2
yawn,0/1,0,0,0,0,0,0,0,10
yaw,0/0,N/A,0,0,0,0,0,0,N/A
go,0/0,N/A,0,0,0,0,0,0,N/A
hail,0/0,N/A,0,0,0,0,0,0,N/A
come,0/1,0,0,0,0,0,0,0,0
